,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,East London,ZA,18.15,overcast clouds,-33.0153,27.9116,Tu Casa
296,Sao Felix Do Xingu,BR,31.07,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
297,Tres Picos,MX,27.49,broken clouds,15.8667,-93.5333,Tres picos Chiapas
298,Korla,CN,10.78,clear sky,41.7597,86.1469,Gulisitan Hotel
299,Chunoyar,RU,0.17,overcast clouds,57.4467,97.3217,
301,Kargil,IN,5.09,clear sky,34.5667,76.1,Hotel Caravan Sarai Kargil
302,Teknaf,BD,25.06,broken clouds,20.8624,92.3058,Forestry Guesthouse
303,Carnarvon,AU,17.21,few clouds,-24.8667,113.6333,Hospitality Carnarvon
304,General Bravo,MX,30.62,broken clouds,25.8,-99.1667,Hotel Don Joaquin
305,Semily,CZ,13.11,overcast clouds,50.6019,15.3355,Hotel Municipal House
306,Barentu,ER,24.0,broken clouds,15.1139,37.5928,
307,Saldanha,ZA,13.5,clear sky,-33.0117,17.9442,Blue Bay Lodge
308,Kendari,ID,26.26,overcast clouds,-3.945,122.4989,Hotel Wixel
309,Tukrah,LY,22.24,clear sky,32.5341,20.5791,Lagrota restaurant
310,Ranong,TH,25.49,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
311,Vesoul,FR,11.45,clear sky,47.5833,5.8333,Camping Municipal La Louvière
312,Matara,LK,24.85,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
313,La Macarena,CO,25.18,overcast clouds,2.1837,-73.7849,Casa Hotel Real
314,Talcahuano,CL,11.82,broken clouds,-36.7167,-73.1167,departamento comodo
315,Kruisfontein,ZA,11.05,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
316,Ozu,JP,20.46,light rain,33.5,132.55,HOTEL FOREST
317,West Bay,KY,29.04,broken clouds,19.3667,-81.4167,Calypso Cove
318,Thurso,GB,11.03,overcast clouds,58.5927,-3.5259,Weigh Inn Hotel
319,Swan Hill,AU,18.03,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
320,Radhanpur,IN,27.99,scattered clouds,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
321,Thongwa,MM,26.09,broken clouds,16.7619,96.5278,Mhaw Wun Marlar Park
322,Klyuchi,RU,7.42,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
323,Ouro Preto Do Oeste,BR,29.57,broken clouds,-10.7481,-62.2158,Graúna Resort Hotel
324,Maraba,BR,30.22,broken clouds,-5.3686,-49.1178,Hotel Del Principe
325,Uong Bi,VN,25.99,clear sky,21.0333,106.7833,khach san Trung lien
326,Monte Azul,BR,25.1,few clouds,-15.155,-42.8747,Hotel Delfino
327,Wajima,JP,16.04,light rain,37.4,136.9,Wajiima Onsen Yashio
328,Ujjain,IN,22.92,overcast clouds,23.1833,75.7667,SPOT ON 69320 Hotel New Neha Palace
329,Severodvinsk,RU,9.06,overcast clouds,64.5635,39.8302,Park Hotel
330,Tazovskiy,RU,0.46,overcast clouds,67.4667,78.7,TazHostel
331,Ahipara,NZ,11.61,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
332,Marsa Matruh,EG,22.06,clear sky,31.3525,27.2453,Beau Site
333,Havoysund,NO,7.13,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
335,Petropavlovsk-Kamchatskiy,RU,8.33,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
336,Muros,ES,18.94,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
337,San Isidro,PE,17.79,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
339,Daru,PG,27.69,broken clouds,-9.0763,143.2092,Daru Lodge
340,Port-Gentil,GA,25.25,broken clouds,-0.7193,8.7815,Fengshui Residence
341,Atar,MR,33.73,scattered clouds,20.5169,-13.0499,Oumou Elghoura
342,Zvishavane,ZW,20.41,clear sky,-20.3267,30.0665,Hotel Boutique Runde
343,Homer,US,13.94,broken clouds,59.6425,-151.5483,Beluga Lake Lodge
344,Ardabil,IR,15.35,clear sky,38.2498,48.2933,Hotel ideal
345,Owando,CG,21.79,light rain,-0.4819,15.8999,Exaunel Hotel Owando
346,La Gomera,GT,28.84,broken clouds,14.0833,-91.05,Cede.E.T.V
347,Tarbes,FR,16.26,overcast clouds,43.25,0.1667,Quelle Vue (Gite Rural)
348,Creemore,CA,16.7,scattered clouds,44.327,-80.1075,Clearview Station Bed & Breakfast
349,Zarubino,RU,7.59,clear sky,42.63,131.0922,Okean
