City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Yuza,JP,39.0,139.9167,14.18,57,97,2.63,overcast clouds
237,Vodnyy,RU,63.5046,53.4095,5.7,95,100,2.39,light rain
238,Lasa,IT,46.6166,10.7002,9.09,77,64,1.23,broken clouds
239,Prado,BR,-17.3411,-39.2208,24.3,82,68,4.61,broken clouds
240,Novichikha,RU,52.204,81.3877,4.95,66,92,3.87,overcast clouds
241,Sekoma,BW,-24.4,23.8833,24.16,25,19,8.05,few clouds
242,Kenai,US,60.5544,-151.2583,13.35,66,75,6.69,light rain
243,Vagamo,NO,61.8751,9.0967,4.21,89,40,2.22,scattered clouds
244,Yarada,IN,17.65,83.2667,26.18,100,100,2.06,overcast clouds
245,Savyntsi,UA,49.4026,37.0627,7.53,84,64,2.84,broken clouds
246,Yumen,CN,40.2833,97.2,4.93,54,3,1.35,clear sky
247,Broome,US,42.2506,-75.833,13.41,77,17,1.58,few clouds
248,Mount Gambier,AU,-37.8333,140.7667,14.95,94,100,7.2,overcast clouds
249,Ponta Do Sol,PT,32.6667,-17.1,20.4,80,82,2.49,broken clouds
250,Constitucion,CL,-35.3333,-72.4167,10.1,89,36,3.42,scattered clouds
251,Maldonado,UY,-34.6667,-54.9167,15.13,85,66,4.29,broken clouds
252,Victoria,HK,22.2855,114.1577,30.1,78,54,4.02,broken clouds
253,Itarema,BR,-2.9248,-39.9167,25.88,84,22,7.43,few clouds
254,Inyonga,TZ,-6.7167,32.0667,19.02,33,92,1.82,overcast clouds
255,San Felipe,VE,10.3399,-68.7425,23.08,97,98,1.07,overcast clouds
256,Birin,NP,26.8865,88.0718,15.16,94,98,1.06,overcast clouds
257,Abu Dhabi,AE,24.4667,54.3667,31.01,83,20,1.54,few clouds
258,Ust-Tsilma,RU,65.441,52.1498,6.55,95,100,2.6,overcast clouds
259,Belmonte,BR,-15.8631,-38.8828,23.59,85,10,3.47,clear sky
260,Severnyy,RU,50.677,36.5532,8.02,87,0,3.0,clear sky
261,Ziniare,BF,12.5822,-1.2983,25.55,69,77,1.61,broken clouds
262,Byron Bay,AU,-28.65,153.6167,17.98,87,100,1.2,light rain
263,San Quintin,MX,30.4833,-115.95,21.44,77,35,4.1,scattered clouds
264,Belogorsk,RU,50.9158,128.4611,1.88,43,23,4.42,few clouds
265,Geraldton,AU,-28.7667,114.6,14.23,67,40,3.6,scattered clouds
266,San Cristobal,VE,7.7669,-72.225,20.06,96,100,0.75,overcast clouds
267,Emba,KZ,48.8264,58.1442,9.8,19,99,3.93,overcast clouds
268,Charcas,MX,23.1333,-101.1167,17.0,72,99,5.88,overcast clouds
269,Svetlogorsk,BY,52.6333,29.7333,8.64,93,100,3.33,overcast clouds
270,Cayenne,GF,4.9333,-52.3333,26.02,83,20,1.54,few clouds
271,Przhevalskoye,RU,55.5093,31.8482,8.4,98,100,2.64,overcast clouds
